,Titulo de tesis,resumen,palabras clave,mencion
0,sistema de informaciÓn para la planificaciÓn de proyectos,este trabajo especial de grado contempla el desarrollo de un sistema deinformaciÓn para la planificaciÓn de proyectos siguiendo el estÁndar de laguÍa del pmbok (projectmanagemet body of knowledge  guÍa de fundamentos dela direcciÓn de proyectos para llevar a cabo este desarrollo se utilizÓel mÉtodo de investigaciÓn de proyecto factible  el cual  en una de susetapas  permite analizar y seleccionar las herramientas que se encuentranen el Área de conocimiento de alcance de la guÍa del pmbok el mÉtododedesarrollo utilizado consiste en entrega por etapas  el cual facilita elanÁlisis  diseÑo e implementaciÓn del sistema propuesto se propuso unmÉtodo de programaciÓn que consiste en un estÁndar para organizar laestructura del cÓdigo del sistema se analizan las herramientas y tÉcnicascorrespondientes al Área de alcance para seleccionar aquellas que seimplementarÁn en el sistema mencionado una vez seleccionadas se lleva acabo la implementaciÓn de las mismas y las pruebas necesarias paracomprobar su correcto funcionamiento,pmbok (project managemet body of knowledge  guÍa de fundamentos de ladirecciÓn de proyectos,bases de datos
1,soporte didÁctico para la enseÑanza del uso del navegador y el correoelectrÓnico,el objetivo general del trabajo especial de grado fue diseÑar ydesarrollar un soporte didÁctico para la enseÑanza del uso del navegador yel correo electrÓnico (naveco  que permitiera de una manera sencilla ydinÁmica lograr que usuarios con pocos conocimientos de computaciÓnaprendan la utilizaciÓn de estas herramientas informÁticas naveco en unprincipio surge como un proyecto cuyo dominio de aplicaciÓn es enseÑar eluso del navegador  sin embargo  se pudo agregar el tema del correoelectrÓnico  siendo asÍ una aplicaciÓn que imparta conocimientos de dostemas importantes para usuarios no expertos en el uso de las tecnologÍasinternet para la implantaciÓn de naveco  se utilizÓ el lenguaje deprogramaciÓn visual basic 6 para la elaboraciÓn de sistemas standalone(independientes  autÓnomos y elaboraciÓn de instaladores (wizards deinstalaciÓn tambiÉn se utilizÓ macromedia flash mx 2004 para la creaciÓnde animaciones en general  la conjunciÓn de herramientas de softwarepermitiÓ desarrollar un soporte didÁctico con un alto grado deinteractividad  permitiendo al usuario hacer peticiones y que Éstas seanrespondidas mediante interfaces amigables y defÁcil uso se incorporÓ alciclo de desarrollo de software la definiciÓn de patrones de interacciÓncon el fin de obtener soluciones en el diseÑo de las interfaces de usuariode naveco esto constituye un valioso aporte para otros desarrolladores quepudieran encontrarse en la necesidad de resolver problemas similares lasoluciÓn que provee naveco presenta ciertas limitaciones en cuanto lalecciÓn prÁctica del correo electrÓnico  ya que actualmente el soporte paraesta lecciÓn es un enlace vÍa web a un proveedor de cuentas de correoelectrÓnico  por lo tanto  se podrÍa pensar en incorporar una soluciÓnsimilar a la lecciÓn prÁctica del navegador  simulando en una versiÓn unpoco mÁs bÁsica  una interfaz con funcionalidades propias del correoelectrÓnico  dejÁndose Ésta como posible recomendaciÓn para actualizacionesfuturas delsoporte didÁctico,soporte didÁctico para la enseÑanza del uso del navegador y el correoelectrÓnico naveco,tecnologias educativas
2,sistema de autenticaciÓn sigilosa con terminal de administraciÓn,el propÓsito de este trabajo es implementar un sistema de autenticaciÓnsigilosa basÁndose en la premisa de seguridad en profundidad (tambiÉnconocidacomo seguridad en capas dicha soluciÓn se basarÁ en agregar unacapa de autenticaciÓn sigilosa a los esquemas existentes  ya que de estamanera se puede reducir drÁsticamente los riesgos a los cuales estÁnexpuestos los servidores,seguridad  capas,tecnologias en comunicaciones y redes decomputadoras
3,desarrollo de una herramienta para la interpretaciÓn simbÓlica de mÁquinasde soporte vectorial entrenadas,las mÁquinas de soporte vectorial (svm son sistemas de aprendizajediseÑadas sobre la teorÍa del aprendizaje estadÍstico (vapnik  1998  lascuales han demostrado poseer una buena capacidad de generalizaciÓn sobredatos reales sin embargo  ellas generan modelos caja negra  es decir  elconocimiento que adquieren durante el aprendizaje es difÍcil de interpretardesde el punto de vista del usuario en este trabajo se presenta unaherramienta para la interpretaciÓn simbÓlica de mÁquinas de soportevectorial entrenadas basada en al algoritmo trepan  el cual permite laextracciÓn de Árboles de decisiÓn a partir de estas mÁquinas deaprendizaje las pruebas realizadas muestran que los Árboles de decisiÓngenerados por la herramienta  poseen un alto grado de fidelidad con elmodelo aprendido por la mÁquina de soporte vectorial,mÁquinas de soporte vectorial  extracciÓn de reglas  Árboles de decisiÓn trepan,inteligencia artificial
4,herramienta para la extracciÓn automÁtica de caracterÍsticas morfolÓgicasde espermatozoides humanos a partir de imÁgenes,el anÁlisis de lÍquido seminal (als o espermograma es un procedimientodiagnÓstico importante para la salud ya que se constituye en un medio deevaluaciÓn de la fertilidad masculina por otra parte  permite estimar elfuncionamiento de diferentes estructuras del aparato reproductivo  lo queresulta conveniente para dar seguimiento a intervenciones mÉdicas como lavasectomÍa  asÍ como otros chequeos pre y post operatorios en el als serealizan dos grupos de pruebas (macroscÓpicas y microscÓpicas laevaluaciÓn morfolÓgica es una subprueba microscÓpica que demanda altoscostes en tÉrminos de pericia  tiempo y esfuerzo  ademÁs de ser unprocedimiento vulnerable a varias fuentes de error a partir de lavigencia  utilidad e importancia de la evaluaciÓn morfolÓgica asÍ como delas dificultades asociadas a este examen  el propÓsito de estainvestigaciÓn fue construir una herramienta que apoye al experto en laprueba para tal fin  se definiÓ un modelo de procesamiento de imÁgenesdigitales microscÓpicas del lÍquido seminal  que identifica y extrae lascaracterÍsticas a los espermatozoides presentes en la escena luego deldesarrollo y definiciÓn del modelo  se realizaron pruebas con una muestrade 89 imÁgenes tomadas en condiciones similares al ambiente de trabajo delexperto los resultados indican una tasa de error de segmentaciÓn de 7 69%confundiendo elementos de las imÁgenes con espermatozoides  6 69% deomisiones de espermatozoides presentes y 7 53% de error en la extracciÓn decaracterÍsticas producto de la identificaciÓn errÓnea de las estructurasdel espermatozoide el desarrollo del proyecto constituye un aporte quedemuestra la factibilidad de desarrollar este tipo de tecnologÍas en elpaÍs sin embargo  mostrÓ ser una actividad compleja  que debe ser llevadaa cabo con precauciÓn  controlando las fuentes de error requiere decreatividad e innovaciÓn asÍ como del dominio de los aspectos tÉcnicosrelacionados a la eficiencia en la ejecuciÓn de programas en elcomputador,morfologÍa espermÁtica  inteligencia artificial  procesamiento digital deimÁgenes,inteligencia artificial
5,easy extractor: un sistema de clasificaciÓn de informaciÓn de la webutilizando tÉcnicas de extracciÓn de datos,la informaciÓn en la web se encuentra en cambio constante y sujeta a lavolatilidad de la red  por lo que una pÁgina puede existir hoy peronomaÑana o encontrarla con un contenido distinto de esta manera surgelanecesidad de extraer  almacenar y clasificar informaciÓn que elusuarioconsidere importante en la web en la actualidad existenalgunasherramientas que han solucionado dicha problemÁtica  entre lascualesmencionamos solvent y google bloc de notas sin embargo puedennosatisfacer las necesidades de algunos usuarios el sistema easyextractor  se crea como una herramienta distinta queno sÓlo englobafuncionalidades de otras aplicaciones  sino que ofrece nuevasposibilidadesa los usuarios en el proceso de desarrollo de esta aplicaciÓn serealizÓuna adaptaciÓn de la metodologÍa extreme programming (xp dentrode lascualidades con las que cuenta este sistema son: compartir informaciÓnconotros usuarios  exportar la informaciÓn a formato pdf para sualmacenajelocal  intercambiar comentarios e ideas con otros usuarios  demarcado yalmacenaje de informaciÓn e imÁgenes para su posteriorrecuperaciÓn  entreotras,mozilla  xul  web  aplicaciÓn  servicios web,aplicaciones internet
6,instanciaciÓn de una soluciÓn erp cÓdigo abierto para el sector saludambulatorio,en este trabajo se presenta para el sector salud ambulatorio la adaptaciÓnde un sistema enterprise resource planning (erp porque se crea unaplataforma integrada de toda la organizaciÓn para coordinar los procesosinternos clave de la empresa se decidiÓ adaptar un erp para integrar losprocesos del ambulatorio en un solo sistema de software y que esainformaciÓn pueda fluir a travÉs de la organizaciÓn mejorando lacoordinaciÓn  eficiencia y toma de decisiones los erp pueden ayudar acrear una organizaciÓn mÁs uniforme en la que todo el mundo utiliceprocesos e informaciÓn similares y evalÚe su trabajo en tÉrminos deestÁndares de desempeÑo de toda la organizaciÓn los erp son muy difÍcilesde implementar con Éxito requieren un cambio organizacional extenso  eluso de tecnologÍas complicadas precisa altos costos iniciales para obtenerbeneficios a largo plazo difÍciles de cuantificar pero una vezimplementados  es muy difÍcil cambiar los sistemas empresariales (laudon ylaudon  2001la digitalizaciÓn de la historia clÍnica (hc se haconvertido durante los Últimos aÑos en el objetivo de la mayor parte de lostrabajos de la informÁtica mÉdica la sustituciÓn de la hc tradicional ensoporte de papel  por una historia clÍnica digital (hcd  responde a lasnecesidades de resolver los dos problemas clÁsicos de los archivos de hc como lo son en primer lugar el crecimiento continuo del volumen almacenado que llega a crear graves problemas de espacio fÍsico  y el inevitabletrasiego de documentos originales  con riesgo de pÉrdida y de su deterioro y en segundo lugar permitir la transferencia rÁpida de la informaciÓnclÍnica existente de un paciente a puntos lejanos  unificando asÍ de hechola hc por encima de los lÍmites de las instituciones asistenciales ademÁseste trabajo sirve para poner a disposiciÓn de los investigadores y de losplanificadores sanitarios esta informaciÓn clÍnica  de forma fÁcilmenteaccesible y tratable,historia clÍnica digital  erp (enterprise resource planning  softwarelibre,sistemas de informacion
7,diseÑo y desarrollo de una nueva aplicaciÓn web para la escuela decomputaciÓn de la universidad central de venezuela con tecnologÍa ruby onrails,este trabajo de la facultad de ciencias de la universidad central devenezuela tiene como objetivo el desarrollo de una aplicaciÓn web para laescuela de computaciÓn que sirva como medio de difusiÓn deinformaciÓninstitucional  acadÉmica y de investigaciÓn  accesible y de fÁcilnavegaciÓn  usandoestÁndares de diseÑo web actuales y que cuente confuncionalidades que faciliten la actualizaciÓn de sucontenido debido a lanaturaleza de la aplicaciÓn  donde unas funcionalidades deben ser deldominiopÚblico y otras sÓlo disponibles para usuarios autorizados  sesugierieron dos subsistemas denominados: subsistema pÚblico y subsistemaadministrativo para llevar a cabo este objetivo se aplicaron herramientasy tecnologÍas de desarrollo web tal como rubyon rails  hojas de estilo encascada  lenguaje extensible de marcado de hipertexto  en el caso delasfuncionalidades se uso la metodologÍa de desarrollo proceso unificadoÁgil adaptada a las necesidadesde la aplicaciÓn  y para el diseÑo sesiguieron aquellos estÁndares actuales de diseÑo web  lineamientosdeusabilidad y patrones de interacciÓn  considerados mÁs importantes,ucv  escuela de computaciÓn  aplicaciÓn web  tecnologÍas de desarrolloweb  rubyon rails  modelado Ágil metodologÍa de desarrollo aup  estÁndaresde diseÑo web  usabilidad  patronesde interacciÓn,aplicaciones internet
8,visiÓn artificial para detecciÓn y ubicaciÓn espacial de objetos en unaescena,el centro de computaciÓn grÁfica (ccg en conjunto con el instituto decirugÍaexperimental (ice de la facultad de medicina de la universidadcentral de venezuela (ucvy el instituto nacional de bioingenierÍa (inabioestÁn desarrollando un simulador virtual para entrenamiento en cirugÍalaparoscÓpica  en el marco del proyecto laparos actualmente  el componentede hardware del simulador estÁ conformado por un simuladormecÁnico y unsubsistema de rastreo el subsistema de rastreo estÁ basado en undispositivocomercial llamado isotrak ii  el cual envÍa al computador laposiciÓn de la pinza cuandoesta se encuentra en la cavidad del simuladormecÁnico sin embargo  el ccg cuenta solamentecon un equipo  el cual es dealto costo y presenta limitaciones en cuanto a la cantidad derastreossimultÁneos y la forma de interactuar con los instrumentos es por ello que en estetrabajo especial de grado se presenta un sistema basado envisiÓn artificial con un enfoquemÁs general capaz de reconocer cualquierobjeto en base a su color y ubicarlo en un ambiente tridimensional presentando una manera alterna de interacciÓn econÓmica  portableeinnovadora el sistema propuesto utiliza un conjunto de cÁmaras digitalespara capturar la imagen del objeto de interÉs estas imÁgenes son sometidasa un procesamiento que permite detectar y obtener las caracterÍsticasrelevantes del objeto de interÉs luego  estas caracterÍsticas son laentrada de varios algoritmos que permiten calcular la posiciÓn del objeto ysu ubicaciÓn en el espacio,isotrak ii,computacion grafica
9,reingenierÍa de un sistema de segunda opiniÓn mÉdica para el proyecto sostelemedicina para venezuela,uno de los servicios fundamentales en telemedicina es el de segundaopiniÓn medica como partedel proyecto sos telemedicina ucv llevado a cabopor el centro de analisis de imagenes biomedicas computarizadas sedesarrollo una aplicacion web que permite a los medicos especialistas delos postgrados de la facultad de medicina de la universidad central devenezuela atender consultas de segunda opiniÓn medica generadas por losmedicos rurales de diversas regiones del pais de esta manera se puedemejorar la prestaciÓn de servicios de salud mediante la consultaespecializada remota  lo que permite abaratar costos y reducir tiempos derespuesta en casos complejos el sistema de segunda opiniÓn medica tienelas siguientes funcionalidades: a captura de la historia clinica de lospacientes  b transmisiÓn de la informaciÓn textual y multimedia parasoporte de los casos (videos  imagenes y audio  c asignaciÓn de los casosde acuerdo a la especialidad o dificultad de los mismos  dseguimiento delos casos por parte de los medicos rurales y de los especialistas  eintercambio de informaciÓn entre medicos  y preparacion de casos paraposterior publicaciÓn el sistema esta desarrollado siguiendo unaarquitectura basada en servicios (soa y herramientas de software libre  llo que permite la reutilizaciÓn de los componentes para otras aplicacionesdesarrolladas en la ucv en la actualidad existe una prueba piloto en loscentros asistenciales de juan griego  salamanca y coche  todos en el estadonueva esparta  y un centro de triaje en el instituto de medicina tropicalde la ucv el objetivo de este trabajo es presentar el diseÑo de laarquitectura  un prototipo funcional  y las discusiones del uso del sistemapor parte de los medicos rurales,aplicaciones web telemedicina segunda opinion medica,aplicaciones internet
