,Titulo de tesis,resumen,palabras clave,mencion
0,SISTEMA DE INFORMACIÓN PARA LA PLANIFICACIÓN DE PROYECTOS,ESTE TRABAJO ESPECIAL DE GRADO CONTEMPLA EL DESARROLLO DE UN SISTEMA DEINFORMACIÓN PARA LA PLANIFICACIÓN DE PROYECTOS SIGUIENDO EL ESTÁNDAR DE LAGUÍA DEL PMBOK (PROJECTMANAGEMET BODY OF KNOWLEDGE  GUÍA DE FUNDAMENTOS DELA DIRECCIÓN DE PROYECTOS) PARA LLEVAR A CABO ESTE DESARROLLO SE UTILIZÓEL MÉTODO DE INVESTIGACIÓN DE PROYECTO FACTIBLE  EL CUAL  EN UNA DE SUSETAPAS  PERMITE ANALIZAR Y SELECCIONAR LAS HERRAMIENTAS QUE SE ENCUENTRANEN EL ÁREA DE CONOCIMIENTO DE ALCANCE DE LA GUÍA DEL PMBOK EL MÉTODODEDESARROLLO UTILIZADO CONSISTE EN ENTREGA POR ETAPAS  EL CUAL FACILITA ELANÁLISIS  DISEÑO E IMPLEMENTACIÓN DEL SISTEMA PROPUESTO SE PROPUSO UNMÉTODO DE PROGRAMACIÓN QUE CONSISTE EN UN ESTÁNDAR PARA ORGANIZAR LAESTRUCTURA DEL CÓDIGO DEL SISTEMA SE ANALIZAN LAS HERRAMIENTAS Y TÉCNICASCORRESPONDIENTES AL ÁREA DE ALCANCE PARA SELECCIONAR AQUELLAS QUE SEIMPLEMENTARÁN EN EL SISTEMA MENCIONADO UNA VEZ SELECCIONADAS SE LLEVA ACABO LA IMPLEMENTACIÓN DE LAS MISMAS Y LAS PRUEBAS NECESARIAS PARACOMPROBAR SU CORRECTO FUNCIONAMIENTO,PMBOK (PROJECT MANAGEMET BODY OF KNOWLEDGE  GUÍA DE FUNDAMENTOS DE LADIRECCIÓN DE PROYECTOS),TRABAJO ESPECIAL DE GRADO (BASE DE DATOS)
1,SOPORTE DIDÁCTICO PARA LA ENSEÑANZA DEL USO DEL NAVEGADOR Y EL CORREOELECTRÓNICO,EL OBJETIVO GENERAL DEL TRABAJO ESPECIAL DE GRADO FUE DISEÑAR YDESARROLLAR UN SOPORTE DIDÁCTICO PARA LA ENSEÑANZA DEL USO DEL NAVEGADOR YEL CORREO ELECTRÓNICO (NAVECO)  QUE PERMITIERA DE UNA MANERA SENCILLA YDINÁMICA LOGRAR QUE USUARIOS CON POCOS CONOCIMIENTOS DE COMPUTACIÓNAPRENDAN LA UTILIZACIÓN DE ESTAS HERRAMIENTAS INFORMÁTICAS NAVECO EN UNPRINCIPIO SURGE COMO UN PROYECTO CUYO DOMINIO DE APLICACIÓN ES ENSEÑAR ELUSO DEL NAVEGADOR  SIN EMBARGO  SE PUDO AGREGAR EL TEMA DEL CORREOELECTRÓNICO  SIENDO ASÍ UNA APLICACIÓN QUE IMPARTA CONOCIMIENTOS DE DOSTEMAS IMPORTANTES PARA USUARIOS NO EXPERTOS EN EL USO DE LAS TECNOLOGÍASINTERNET PARA LA IMPLANTACIÓN DE NAVECO  SE UTILIZÓ EL LENGUAJE DEPROGRAMACIÓN VISUAL BASIC 6 PARA LA ELABORACIÓN DE SISTEMAS STANDALONE(INDEPENDIENTES  AUTÓNOMOS) Y ELABORACIÓN DE INSTALADORES (WIZARDS DEINSTALACIÓN) TAMBIÉN SE UTILIZÓ MACROMEDIA FLASH MX 2004 PARA LA CREACIÓNDE ANIMACIONES EN GENERAL  LA CONJUNCIÓN DE HERRAMIENTAS DE SOFTWAREPERMITIÓ DESARROLLAR UN SOPORTE DIDÁCTICO CON UN ALTO GRADO DEINTERACTIVIDAD  PERMITIENDO AL USUARIO HACER PETICIONES Y QUE ÉSTAS SEANRESPONDIDAS MEDIANTE INTERFACES AMIGABLES Y DEFÁCIL USO SE INCORPORÓ ALCICLO DE DESARROLLO DE SOFTWARE LA DEFINICIÓN DE PATRONES DE INTERACCIÓNCON EL FIN DE OBTENER SOLUCIONES EN EL DISEÑO DE LAS INTERFACES DE USUARIODE NAVECO ESTO CONSTITUYE UN VALIOSO APORTE PARA OTROS DESARROLLADORES QUEPUDIERAN ENCONTRARSE EN LA NECESIDAD DE RESOLVER PROBLEMAS SIMILARES LASOLUCIÓN QUE PROVEE NAVECO PRESENTA CIERTAS LIMITACIONES EN CUANTO LALECCIÓN PRÁCTICA DEL CORREO ELECTRÓNICO  YA QUE ACTUALMENTE EL SOPORTE PARAESTA LECCIÓN ES UN ENLACE VÍA WEB A UN PROVEEDOR DE CUENTAS DE CORREOELECTRÓNICO  POR LO TANTO  SE PODRÍA PENSAR EN INCORPORAR UNA SOLUCIÓNSIMILAR A LA LECCIÓN PRÁCTICA DEL NAVEGADOR  SIMULANDO EN UNA VERSIÓN UNPOCO MÁS BÁSICA  UNA INTERFAZ CON FUNCIONALIDADES PROPIAS DEL CORREOELECTRÓNICO  DEJÁNDOSE ÉSTA COMO POSIBLE RECOMENDACIÓN PARA ACTUALIZACIONESFUTURAS DELSOPORTE DIDÁCTICO,SOPORTE DIDÁCTICO PARA LA ENSEÑANZA DEL USO DEL NAVEGADOR Y EL CORREOELECTRÓNICO NAVECO,TRABAJO ESPECIAL DE GRADO (TECNOLOGIA EDUCATIVA)
2,SISTEMA DE AUTENTICACIÓN SIGILOSA CON TERMINAL DE ADMINISTRACIÓN,EL PROPÓSITO DE ESTE TRABAJO ES IMPLEMENTAR UN SISTEMA DE AUTENTICACIÓNSIGILOSA BASÁNDOSE EN LA PREMISA DE SEGURIDAD EN PROFUNDIDAD (TAMBIÉNCONOCIDACOMO SEGURIDAD EN CAPAS) DICHA SOLUCIÓN SE BASARÁ EN AGREGAR UNACAPA DE AUTENTICACIÓN SIGILOSA A LOS ESQUEMAS EXISTENTES  YA QUE DE ESTAMANERA SE PUEDE REDUCIR DRÁSTICAMENTE LOS RIESGOS A LOS CUALES ESTÁNEXPUESTOS LOS SERVIDORES,SEGURIDAD  CAPAS,TRABAJO ESPECIAL DE GRADO (TECNOLOGIAS EN COMUNICACIONES Y REDES DECOMPUTADORAS)
3,DESARROLLO DE UNA HERRAMIENTA PARA LA INTERPRETACIÓN SIMBÓLICA DE MÁQUINASDE SOPORTE VECTORIAL ENTRENADAS,LAS MÁQUINAS DE SOPORTE VECTORIAL (SVM) SON SISTEMAS DE APRENDIZAJEDISEÑADAS SOBRE LA TEORÍA DEL APRENDIZAJE ESTADÍSTICO (VAPNIK  1998)  LASCUALES HAN DEMOSTRADO POSEER UNA BUENA CAPACIDAD DE GENERALIZACIÓN SOBREDATOS REALES SIN EMBARGO  ELLAS GENERAN MODELOS CAJA NEGRA  ES DECIR  ELCONOCIMIENTO QUE ADQUIEREN DURANTE EL APRENDIZAJE ES DIFÍCIL DE INTERPRETARDESDE EL PUNTO DE VISTA DEL USUARIO EN ESTE TRABAJO SE PRESENTA UNAHERRAMIENTA PARA LA INTERPRETACIÓN SIMBÓLICA DE MÁQUINAS DE SOPORTEVECTORIAL ENTRENADAS BASADA EN AL ALGORITMO TREPAN  EL CUAL PERMITE LAEXTRACCIÓN DE ÁRBOLES DE DECISIÓN A PARTIR DE ESTAS MÁQUINAS DEAPRENDIZAJE LAS PRUEBAS REALIZADAS MUESTRAN QUE LOS ÁRBOLES DE DECISIÓNGENERADOS POR LA HERRAMIENTA  POSEEN UN ALTO GRADO DE FIDELIDAD CON ELMODELO APRENDIDO POR LA MÁQUINA DE SOPORTE VECTORIAL,MÁQUINAS DE SOPORTE VECTORIAL  EXTRACCIÓN DE REGLAS  ÁRBOLES DE DECISIÓN TREPAN,TRABAJO ESPECIAL DE GRADO (INTELIGENCIA ARTIFICIAL)
4,HERRAMIENTA PARA LA EXTRACCIÓN AUTOMÁTICA DE CARACTERÍSTICAS MORFOLÓGICASDE ESPERMATOZOIDES HUMANOS A PARTIR DE IMÁGENES,EL ANÁLISIS DE LÍQUIDO SEMINAL (ALS) O ESPERMOGRAMA ES UN PROCEDIMIENTODIAGNÓSTICO IMPORTANTE PARA LA SALUD YA QUE SE CONSTITUYE EN UN MEDIO DEEVALUACIÓN DE LA FERTILIDAD MASCULINA POR OTRA PARTE  PERMITE ESTIMAR ELFUNCIONAMIENTO DE DIFERENTES ESTRUCTURAS DEL APARATO REPRODUCTIVO  LO QUERESULTA CONVENIENTE PARA DAR SEGUIMIENTO A INTERVENCIONES MÉDICAS COMO LAVASECTOMÍA  ASÍ COMO OTROS CHEQUEOS PRE Y POST OPERATORIOS EN EL ALS SEREALIZAN DOS GRUPOS DE PRUEBAS (MACROSCÓPICAS Y MICROSCÓPICAS) LAEVALUACIÓN MORFOLÓGICA ES UNA SUBPRUEBA MICROSCÓPICA QUE DEMANDA ALTOSCOSTES EN TÉRMINOS DE PERICIA  TIEMPO Y ESFUERZO  ADEMÁS DE SER UNPROCEDIMIENTO VULNERABLE A VARIAS FUENTES DE ERROR A PARTIR DE LAVIGENCIA  UTILIDAD E IMPORTANCIA DE LA EVALUACIÓN MORFOLÓGICA ASÍ COMO DELAS DIFICULTADES ASOCIADAS A ESTE EXAMEN  EL PROPÓSITO DE ESTAINVESTIGACIÓN FUE CONSTRUIR UNA HERRAMIENTA QUE APOYE AL EXPERTO EN LAPRUEBA PARA TAL FIN  SE DEFINIÓ UN MODELO DE PROCESAMIENTO DE IMÁGENESDIGITALES MICROSCÓPICAS DEL LÍQUIDO SEMINAL  QUE IDENTIFICA Y EXTRAE LASCARACTERÍSTICAS A LOS ESPERMATOZOIDES PRESENTES EN LA ESCENA LUEGO DELDESARROLLO Y DEFINICIÓN DEL MODELO  SE REALIZARON PRUEBAS CON UNA MUESTRADE 89 IMÁGENES TOMADAS EN CONDICIONES SIMILARES AL AMBIENTE DE TRABAJO DELEXPERTO LOS RESULTADOS INDICAN UNA TASA DE ERROR DE SEGMENTACIÓN DE 7 69%CONFUNDIENDO ELEMENTOS DE LAS IMÁGENES CON ESPERMATOZOIDES  6 69% DEOMISIONES DE ESPERMATOZOIDES PRESENTES Y 7 53% DE ERROR EN LA EXTRACCIÓN DECARACTERÍSTICAS PRODUCTO DE LA IDENTIFICACIÓN ERRÓNEA DE LAS ESTRUCTURASDEL ESPERMATOZOIDE EL DESARROLLO DEL PROYECTO CONSTITUYE UN APORTE QUEDEMUESTRA LA FACTIBILIDAD DE DESARROLLAR ESTE TIPO DE TECNOLOGÍAS EN ELPAÍS SIN EMBARGO  MOSTRÓ SER UNA ACTIVIDAD COMPLEJA  QUE DEBE SER LLEVADAA CABO CON PRECAUCIÓN  CONTROLANDO LAS FUENTES DE ERROR REQUIERE DECREATIVIDAD E INNOVACIÓN ASÍ COMO DEL DOMINIO DE LOS ASPECTOS TÉCNICOSRELACIONADOS A LA EFICIENCIA EN LA EJECUCIÓN DE PROGRAMAS EN ELCOMPUTADOR,MORFOLOGÍA ESPERMÁTICA  INTELIGENCIA ARTIFICIAL  PROCESAMIENTO DIGITAL DEIMÁGENES,TRABAJO ESPECIAL DE GRADO (INTELIGENCIA ARTIFICIAL)
5,EASY EXTRACTOR: UN SISTEMA DE CLASIFICACIÓN DE INFORMACIÓN DE LA WEBUTILIZANDO TÉCNICAS DE EXTRACCIÓN DE DATOS,LA INFORMACIÓN EN LA WEB SE ENCUENTRA EN CAMBIO CONSTANTE Y SUJETA A LAVOLATILIDAD DE LA RED  POR LO QUE UNA PÁGINA PUEDE EXISTIR HOY PERONOMAÑANA O ENCONTRARLA CON UN CONTENIDO DISTINTO DE ESTA MANERA SURGELANECESIDAD DE EXTRAER  ALMACENAR Y CLASIFICAR INFORMACIÓN QUE ELUSUARIOCONSIDERE IMPORTANTE EN LA WEB EN LA ACTUALIDAD EXISTENALGUNASHERRAMIENTAS QUE HAN SOLUCIONADO DICHA PROBLEMÁTICA  ENTRE LASCUALESMENCIONAMOS SOLVENT Y GOOGLE BLOC DE NOTAS SIN EMBARGO PUEDENNOSATISFACER LAS NECESIDADES DE ALGUNOS USUARIOS EL SISTEMA EASYEXTRACTOR  SE CREA COMO UNA HERRAMIENTA DISTINTA QUENO SÓLO ENGLOBAFUNCIONALIDADES DE OTRAS APLICACIONES  SINO QUE OFRECE NUEVASPOSIBILIDADESA LOS USUARIOS EN EL PROCESO DE DESARROLLO DE ESTA APLICACIÓN SEREALIZÓUNA ADAPTACIÓN DE LA METODOLOGÍA EXTREME PROGRAMMING (XP) DENTRODE LASCUALIDADES CON LAS QUE CUENTA ESTE SISTEMA SON: COMPARTIR INFORMACIÓNCONOTROS USUARIOS  EXPORTAR LA INFORMACIÓN A FORMATO PDF PARA SUALMACENAJELOCAL  INTERCAMBIAR COMENTARIOS E IDEAS CON OTROS USUARIOS  DEMARCADO YALMACENAJE DE INFORMACIÓN E IMÁGENES PARA SU POSTERIORRECUPERACIÓN  ENTREOTRAS,MOZILLA  XUL  WEB  APLICACIÓN  SERVICIOS WEB,TRABAJO ESPECIAL DE GRADO (APLICACIONES INTERNET)
6,INSTANCIACIÓN DE UNA SOLUCIÓN ERP CÓDIGO ABIERTO PARA EL SECTOR SALUDAMBULATORIO,EN ESTE TRABAJO SE PRESENTA PARA EL SECTOR SALUD AMBULATORIO LA ADAPTACIÓNDE UN SISTEMA ENTERPRISE RESOURCE PLANNING (ERP) PORQUE SE CREA UNAPLATAFORMA INTEGRADA DE TODA LA ORGANIZACIÓN PARA COORDINAR LOS PROCESOSINTERNOS CLAVE DE LA EMPRESA SE DECIDIÓ ADAPTAR UN ERP PARA INTEGRAR LOSPROCESOS DEL AMBULATORIO EN UN SOLO SISTEMA DE SOFTWARE Y QUE ESAINFORMACIÓN PUEDA FLUIR A TRAVÉS DE LA ORGANIZACIÓN MEJORANDO LACOORDINACIÓN  EFICIENCIA Y TOMA DE DECISIONES LOS ERP PUEDEN AYUDAR ACREAR UNA ORGANIZACIÓN MÁS UNIFORME EN LA QUE TODO EL MUNDO UTILICEPROCESOS E INFORMACIÓN SIMILARES Y EVALÚE SU TRABAJO EN TÉRMINOS DEESTÁNDARES DE DESEMPEÑO DE TODA LA ORGANIZACIÓN LOS ERP SON MUY DIFÍCILESDE IMPLEMENTAR CON ÉXITO REQUIEREN UN CAMBIO ORGANIZACIONAL EXTENSO  ELUSO DE TECNOLOGÍAS COMPLICADAS PRECISA ALTOS COSTOS INICIALES PARA OBTENERBENEFICIOS A LARGO PLAZO DIFÍCILES DE CUANTIFICAR PERO UNA VEZIMPLEMENTADOS  ES MUY DIFÍCIL CAMBIAR LOS SISTEMAS EMPRESARIALES (LAUDON YLAUDON  2001)LA DIGITALIZACIÓN DE LA HISTORIA CLÍNICA (HC) SE HACONVERTIDO DURANTE LOS ÚLTIMOS AÑOS EN EL OBJETIVO DE LA MAYOR PARTE DE LOSTRABAJOS DE LA INFORMÁTICA MÉDICA LA SUSTITUCIÓN DE LA HC TRADICIONAL ENSOPORTE DE PAPEL  POR UNA HISTORIA CLÍNICA DIGITAL (HCD)  RESPONDE A LASNECESIDADES DE RESOLVER LOS DOS PROBLEMAS CLÁSICOS DE LOS ARCHIVOS DE HC COMO LO SON EN PRIMER LUGAR EL CRECIMIENTO CONTINUO DEL VOLUMEN ALMACENADO QUE LLEGA A CREAR GRAVES PROBLEMAS DE ESPACIO FÍSICO  Y EL INEVITABLETRASIEGO DE DOCUMENTOS ORIGINALES  CON RIESGO DE PÉRDIDA Y DE SU DETERIORO Y EN SEGUNDO LUGAR PERMITIR LA TRANSFERENCIA RÁPIDA DE LA INFORMACIÓNCLÍNICA EXISTENTE DE UN PACIENTE A PUNTOS LEJANOS  UNIFICANDO ASÍ DE HECHOLA HC POR ENCIMA DE LOS LÍMITES DE LAS INSTITUCIONES ASISTENCIALES ADEMÁSESTE TRABAJO SIRVE PARA PONER A DISPOSICIÓN DE LOS INVESTIGADORES Y DE LOSPLANIFICADORES SANITARIOS ESTA INFORMACIÓN CLÍNICA  DE FORMA FÁCILMENTEACCESIBLE Y TRATABLE,HISTORIA CLÍNICA DIGITAL  ERP (ENTERPRISE RESOURCE PLANNING)  SOFTWARELIBRE,TRABAJO ESPECIAL DE GRADO (SISTEMAS DE INFORMACION)
7,DISEÑO Y DESARROLLO DE UNA NUEVA APLICACIÓN WEB PARA LA ESCUELA DECOMPUTACIÓN DE LA UNIVERSIDAD CENTRAL DE VENEZUELA CON TECNOLOGÍA RUBY ONRAILS,ESTE TRABAJO DE LA FACULTAD DE CIENCIAS DE LA UNIVERSIDAD CENTRAL DEVENEZUELA TIENE COMO OBJETIVO EL DESARROLLO DE UNA APLICACIÓN WEB PARA LAESCUELA DE COMPUTACIÓN QUE SIRVA COMO MEDIO DE DIFUSIÓN DEINFORMACIÓNINSTITUCIONAL  ACADÉMICA Y DE INVESTIGACIÓN  ACCESIBLE Y DE FÁCILNAVEGACIÓN  USANDOESTÁNDARES DE DISEÑO WEB ACTUALES Y QUE CUENTE CONFUNCIONALIDADES QUE FACILITEN LA ACTUALIZACIÓN DE SUCONTENIDO DEBIDO A LANATURALEZA DE LA APLICACIÓN  DONDE UNAS FUNCIONALIDADES DEBEN SER DELDOMINIOPÚBLICO Y OTRAS SÓLO DISPONIBLES PARA USUARIOS AUTORIZADOS  SESUGIERIERON DOS SUBSISTEMAS DENOMINADOS: SUBSISTEMA PÚBLICO Y SUBSISTEMAADMINISTRATIVO PARA LLEVAR A CABO ESTE OBJETIVO SE APLICARON HERRAMIENTASY TECNOLOGÍAS DE DESARROLLO WEB TAL COMO RUBYON RAILS  HOJAS DE ESTILO ENCASCADA  LENGUAJE EXTENSIBLE DE MARCADO DE HIPERTEXTO  EN EL CASO DELASFUNCIONALIDADES SE USO LA METODOLOGÍA DE DESARROLLO PROCESO UNIFICADOÁGIL ADAPTADA A LAS NECESIDADESDE LA APLICACIÓN  Y PARA EL DISEÑO SESIGUIERON AQUELLOS ESTÁNDARES ACTUALES DE DISEÑO WEB  LINEAMIENTOSDEUSABILIDAD Y PATRONES DE INTERACCIÓN  CONSIDERADOS MÁS IMPORTANTES,UCV  ESCUELA DE COMPUTACIÓN  APLICACIÓN WEB  TECNOLOGÍAS DE DESARROLLOWEB  RUBYON RAILS  MODELADO ÁGIL METODOLOGÍA DE DESARROLLO AUP  ESTÁNDARESDE DISEÑO WEB  USABILIDAD  PATRONESDE INTERACCIÓN,TRABAJO ESPECIAL DE GRADO (APLICACIONES INTERNET)
8,VISIÓN ARTIFICIAL PARA DETECCIÓN Y UBICACIÓN ESPACIAL DE OBJETOS EN UNAESCENA,EL CENTRO DE COMPUTACIÓN GRÁFICA (CCG) EN CONJUNTO CON EL INSTITUTO DECIRUGÍAEXPERIMENTAL (ICE) DE LA FACULTAD DE MEDICINA DE LA UNIVERSIDADCENTRAL DE VENEZUELA (UCV)Y EL INSTITUTO NACIONAL DE BIOINGENIERÍA (INABIO)ESTÁN DESARROLLANDO UN SIMULADOR VIRTUAL PARA ENTRENAMIENTO EN CIRUGÍALAPAROSCÓPICA  EN EL MARCO DEL PROYECTO LAPAROS ACTUALMENTE  EL COMPONENTEDE HARDWARE DEL SIMULADOR ESTÁ CONFORMADO POR UN SIMULADORMECÁNICO Y UNSUBSISTEMA DE RASTREO EL SUBSISTEMA DE RASTREO ESTÁ BASADO EN UNDISPOSITIVOCOMERCIAL LLAMADO ISOTRAK II  EL CUAL ENVÍA AL COMPUTADOR LAPOSICIÓN DE LA PINZA CUANDOESTA SE ENCUENTRA EN LA CAVIDAD DEL SIMULADORMECÁNICO SIN EMBARGO  EL CCG CUENTA SOLAMENTECON UN EQUIPO  EL CUAL ES DEALTO COSTO Y PRESENTA LIMITACIONES EN CUANTO A LA CANTIDAD DERASTREOSSIMULTÁNEOS Y LA FORMA DE INTERACTUAR CON LOS INSTRUMENTOS ES POR ELLO QUE EN ESTETRABAJO ESPECIAL DE GRADO SE PRESENTA UN SISTEMA BASADO ENVISIÓN ARTIFICIAL CON UN ENFOQUEMÁS GENERAL CAPAZ DE RECONOCER CUALQUIEROBJETO EN BASE A SU COLOR Y UBICARLO EN UN AMBIENTE TRIDIMENSIONAL PRESENTANDO UNA MANERA ALTERNA DE INTERACCIÓN ECONÓMICA  PORTABLEEINNOVADORA EL SISTEMA PROPUESTO UTILIZA UN CONJUNTO DE CÁMARAS DIGITALESPARA CAPTURAR LA IMAGEN DEL OBJETO DE INTERÉS ESTAS IMÁGENES SON SOMETIDASA UN PROCESAMIENTO QUE PERMITE DETECTAR Y OBTENER LAS CARACTERÍSTICASRELEVANTES DEL OBJETO DE INTERÉS LUEGO  ESTAS CARACTERÍSTICAS SON LAENTRADA DE VARIOS ALGORITMOS QUE PERMITEN CALCULAR LA POSICIÓN DEL OBJETO YSU UBICACIÓN EN EL ESPACIO,ISOTRAK II,TRABAJO ESPECIAL DE GRADO (COMPUTACION GRAFICA)
9,REINGENIERÍA DE UN SISTEMA DE SEGUNDA OPINIÓN MÉDICA PARA EL PROYECTO SOSTELEMEDICINA PARA VENEZUELA,UNO DE LOS SERVICIOS FUNDAMENTALES EN TELEMEDICINA ES EL DE SEGUNDAOPINIÓN MEDICA COMO PARTEDEL PROYECTO SOS TELEMEDICINA UCV LLEVADO A CABOPOR EL CENTRO DE ANALISIS DE IMAGENES BIOMEDICAS COMPUTARIZADAS SEDESARROLLO UNA APLICACION WEB QUE PERMITE A LOS MEDICOS ESPECIALISTAS DELOS POSTGRADOS DE LA FACULTAD DE MEDICINA DE LA UNIVERSIDAD CENTRAL DEVENEZUELA ATENDER CONSULTAS DE SEGUNDA OPINIÓN MEDICA GENERADAS POR LOSMEDICOS RURALES DE DIVERSAS REGIONES DEL PAIS DE ESTA MANERA SE PUEDEMEJORAR LA PRESTACIÓN DE SERVICIOS DE SALUD MEDIANTE LA CONSULTAESPECIALIZADA REMOTA  LO QUE PERMITE ABARATAR COSTOS Y REDUCIR TIEMPOS DERESPUESTA EN CASOS COMPLEJOS EL SISTEMA DE SEGUNDA OPINIÓN MEDICA TIENELAS SIGUIENTES FUNCIONALIDADES: A) CAPTURA DE LA HISTORIA CLINICA DE LOSPACIENTES  B) TRANSMISIÓN DE LA INFORMACIÓN TEXTUAL Y MULTIMEDIA PARASOPORTE DE LOS CASOS (VIDEOS  IMAGENES Y AUDIO)  C) ASIGNACIÓN DE LOS CASOSDE ACUERDO A LA ESPECIALIDAD O DIFICULTAD DE LOS MISMOS  D)SEGUIMIENTO DELOS CASOS POR PARTE DE LOS MEDICOS RURALES Y DE LOS ESPECIALISTAS  E)INTERCAMBIO DE INFORMACIÓN ENTRE MEDICOS  Y PREPARACION DE CASOS PARAPOSTERIOR PUBLICACIÓN EL SISTEMA ESTA DESARROLLADO SIGUIENDO UNAARQUITECTURA BASADA EN SERVICIOS (SOA) Y HERRAMIENTAS DE SOFTWARE LIBRE  LLO QUE PERMITE LA REUTILIZACIÓN DE LOS COMPONENTES PARA OTRAS APLICACIONESDESARROLLADAS EN LA UCV EN LA ACTUALIDAD EXISTE UNA PRUEBA PILOTO EN LOSCENTROS ASISTENCIALES DE JUAN GRIEGO  SALAMANCA Y COCHE  TODOS EN EL ESTADONUEVA ESPARTA  Y UN CENTRO DE TRIAJE EN EL INSTITUTO DE MEDICINA TROPICALDE LA UCV EL OBJETIVO DE ESTE TRABAJO ES PRESENTAR EL DISEÑO DE LAARQUITECTURA  UN PROTOTIPO FUNCIONAL  Y LAS DISCUSIONES DEL USO DEL SISTEMAPOR PARTE DE LOS MEDICOS RURALES,APLICACIONES WEB TELEMEDICINA SEGUNDA OPINION MEDICA,TRABAJO ESPECIAL DE GRADO (APLICACIONES INTERNET)
